Node No,K value,Freequency,Avg pathloss(dB),Avg signal power(dBm),Delay,Packet loss
3,6,1380,48.2435,5.70816,0.15208,276
1,6,1390,0,0,0.169248,321
2,6,1390,47.7134,8.23465,0.154384,277
3,6,1390,47.3636,7.63036,0.155552,277
1,6,1400,0,0,0.169248,321
2,6,1400,48.6838,8.08381,0.152992,276
3,6,1400,48.4087,7.73695,0.156144,276
1,6,1410,0,0,0.169248,321
2,6,1410,42.856,7.83658,0.132112,280
3,6,1410,46.341,7.4392,0.156016,278
1,6,1420,0,0,0.169248,321
2,6,1420,47.7544,7.25285,0.15504,277
3,6,1420,49.7821,6.61346,0.15424,275
1,6,1430,0,0,0.169248,321
2,6,1430,45.5011,6.98872,0.154512,279
3,6,1430,46.441,6.46501,0.155504,278
1,6,1440,0,0,0.169248,321
2,6,1440,47.8271,7.26622,0.154448,277
3,6,1440,45.2749,6.54628,0.156672,279
1,6,1450,0,0,0.169248,321
2,6,1450,45.4291,6.61701,0.156288,279
3,6,1450,46.5777,8.06187,0.158976,278
1,6,1460,0,0,0.169248,321
2,6,1460,44.3898,7.01183,0.156688,280
3,6,1460,47.7445,7.57752,0.158576,277
1,6,1470,0,0,0.169248,321
2,6,1470,47.9291,6.91911,0.156672,277
3,6,1470,46.6639,7.71829,0.153816,278
1,6,1480,0,0,0.169248,321
2,6,1480,48.0756,7.46865,0.158592,277
3,6,1480,45.6048,7.15017,0.157872,279
1,6,1490,0,0,0.169248,321
2,6,1490,43.4376,7.57019,0.158,281
3,6,1490,45.6907,7.65142,0.158528,279
1,6,1500,0,0,0.169248,321
2,6,1500,47.2462,7.31644,0.156288,278
3,6,1500,48.1336,8.53633,0.157648,279
1,6,1510,0,0,0.169248,321
2,6,1510,47.078,8.1853,0.160528,278
3,6,1510,44.5392,7.36164,0.159568,280
1,6,1520,0,0,0.169248,321
2,6,1520,43.717,7.92511,0.161424,282
3,6,1520,44.7496,8.08979,0.160464,280
1,6,1530,0,0,0.169248,321
2,6,1530,46.065,7.67619,0.160752,279
3,6,1530,45.9121,7.31379,0.161136,279
1,6,1540,0,0,0.169248,321
2,6,1540,45.0046,8.88445,0.159408,280
3,6,1540,44.9525,7.77033,0.159942,280
1,6,1550,0,0,0.169248,321
2,6,1550,44.9826,7.92617,0.159104,280
3,6,1550,44.8296,8.5492,0.160992,280
1,6,1560,0,0,0.169248,321
2,6,1560,46.2691,8.47948,0.160642,279
3,6,1560,43.5035,8.63156,0.160032,281
1,6,1570,0,0,0.169248,321
2,6,1570,45.0887,8.42247,0.16112,279
3,6,1570,45.0034,7.63014,0.1612916,280
1,6,1580,0,0,0.169248,321
2,6,1580,39.9421,7.512828,0.160544,283
3,6,1580,46.1958,7.86616,0.160992,279
1,6,1590,0,0,0.169248,321
2,6,1590,44.0189,7.32363,0.160672,280
3,6,1590,46.3839,6.78833,0.161104,279
1,6,1600,0,0,0.169248,321
2,6,1600,42.7601,8.06765,0.163296,282
3,6,1600,42.9355,8.40397,0.161808,282
1,6,1610,0,0,0.169248,321
2,6,1610,44.0601,7.99363,0.161712,281
3,6,1610,45.1142,6.80359,0.161136,280
1,6,1620,0,0,0.169248,321
2,6,1620,46.6354,7.29905,0.161728,279
3,6,1620,46.5052,8.14935,0.16224,279
1,6,1630,0,0,0.169248,321
2,6,1630,48.9827,8.00967,0.161792,277
3,6,1630,45.3064,7.50009,0.160992,280
1,6,1640,0,0,0.169248,321
2,6,1640,47.9352,7.45349,0.160672,278
3,6,1640,45.5197,8.47355,0.164612,282
1,6,1650,0,0,0.169248,321
2,6,1650,41.6834,8.98694,0.163376,284
3,6,1650,44.27722,7.6748,0.160736,281
1,6,1660,0,0,0.169248,321
2,6,1660,44.3619,7.48379,0.163584,283
3,6,1660,47.8229,8.18303,0.161328,278
1,6,1670,0,0,0.169248,321
2,6,1670,44.449,7.85754,0.161728,281
3,6,1670,40.3483,8.3505,0.163504,284
1,6,1680,0,0,0.169248,321
2,6,1680,43.2503,8.027,0.161648,283
3,6,1680,41.8027,8.13176,0.161584,285
1,6,1690,0,0,0.169248,321
2,6,1690,44.6292,9.39425,0.1634192,283
3,6,1690,46.7911,8.0043,0.162176,279
1,6,1700,0,0,0.169248,321
2,6,1700,44.5549,7.51434,0.16232,283
3,6,1700,43.2135,8.18167,0.162176,284
1,6,1710,0,0,0.169248,321
2,6,1710,45.8015,8.50704,0.164416,282
3,6,1710,44.5112,7.96108,0.162848,283
1,6,1720,0,0,0.169248,321
2,6,1720,44.9016,7.01945,0.169728,281
3,6,1720,46.0887,7.01923,0.162304,280
1,6,1730,0,0,0.169248,321
2,6,1730,43.5282,8.16025,0.162768,282
3,6,1730,43.6001,8.55026,0.162842,282
1,6,1740,0,0,0.169248,321
2,6,1740,44.9067,8.26506,0.16,281
3,6,1740,43.3142,7.43142,0.162704,284
1,6,1750,0,0,0.169248,321
2,6,1750,44.9493,7.91914,0.161184,281
3,6,1750,41.9764,8.10753,0.16376,285
1,6,1760,0,0,0.169248,321
2,6,1760,41.0649,8.22501,0.162304,283
3,6,1760,42.1971,8.85196,0.163888,285
1,6,1770,0,0,0.169248,321
2,6,1770,45.0756,8.58788,0.168976,281
3,6,1770,42.2167,8.01957,0.163168,285
1,6,1780,0,0,0.169248,321
2,6,1780,41.0339,7.67638,0.162256,285
3,6,1780,46.2851,8.67466,0.161712,280
1,6,1790,0,0,0.169248,321
2,6,1790,42.4961,8.24421,0.16224,284
3,6,1790,44.9332,8.34018,0.162176,281
1,6,1800,0,0,0.169248,321
2,6,1800,43.7812,7.96279,0.160528,281
3,6,1800,41.1148,7.95108,0.164944,286
1,6,1810,0,0,0.169248,321
2,6,1810,43.9929,8.56638,0.16408,284
3,6,1810,39.9309,8.39159,0.162576,285
1,6,1820,0,0,0.169248,321
2,6,1820,41.1307,7.43777,0.163952,285
3,6,1820,39.6618,8.82678,0.164352,287
1,6,1830,0,0,0.169248,321
2,6,1830,39.8999,7.97734,0.16225,284
3,6,1830,42.5169,8.19378,0.163824,285
1,6,1840,0,0,0.169248,321
2,6,1840,42.7217,7.43526,0.163296,284
3,6,1840,45.6041,8.26705,0.1638948,284
1,6,1850,0,0,0.169248,321
2,6,1850,42.8778,7.61756,0.164544,285
3,6,1850,41.2933,8.3539,0.163296,284
1,6,1860,0,0,0.169248,321
2,6,1860,41.5284,7.48589,0.163952,286
3,6,1860,42.7105,9.15602,0.164416,285
1,6,1870,0,0,0.169248,321
